fh_operacion,hm_hora,im_transaccion,credPrea
27/11/17,173024,138,69
30/11/17,34920,555.38,277.69
15/12/17,84444,206,103
04/12/17,174319,2294.79,1147.395
10/11/17,123317,227.27,113.635
22/10/17,201243,1537,768.5
11/12/17,174440,231.16,115.58
19/11/17,153205,310,155
07/12/17,203525,126,63
28/11/17,185830,2600,1300
17/11/17,75636,490.82,245.41
05/11/17,130044,204.6,102.3
07/11/17,215013,675.39,337.695
08/12/17,110103,239.48,119.74
12/12/17,144747,2739,1369.5
17/12/17,100649,2006.25,1003.125
15/12/17,223554,153,76.5
12/12/17,160855,305,152.5
16/12/17,161503,2095.2,1047.6
06/11/17,215549,67,33.5
11/12/17,170420,314.15,157.075
28/10/17,173814,423.8,211.9
03/11/17,112936,290,145
18/12/17,135644,450,225
30/12/17,190036,330,165
19/12/17,200409,153,76.5
12/12/17,154316,3428.42,1714.21
27/12/17,193455,242,121
21/10/17,104812,143,71.5
31/12/17,143042,1906.19,953.095
31/12/17,145347,430.24,215.12
22/12/17,145758,1050,525
20/12/17,124718,585,292.5
25/11/17,191751,495,247.5
02/11/17,195014,679,339.5
05/10/17,193123,2908.2,1454.1
07/12/17,205230,500.01,250.005
22/12/17,151738,1180,590
31/12/17,143224,991.55,495.775
20/12/17,104037,850,425
28/12/17,205136,205,102.5
25/12/17,51522,99,49.5
27/12/17,184347,156,78
23/09/17,154034,2018.53,1009.265
12/12/17,182322,1571.89,785.945
12/08/17,191944,180,90
01/08/17,225701,625.94,312.97
15/09/17,200430,730,365
02/08/17,132425,2207.4,1103.7
19/08/17,182508,211.9,105.95
20/08/17,164519,290,145
16/08/17,170905,501.05,250.525
10/08/17,113024,255,127.5
05/08/17,215512,141,70.5
19/08/17,204203,344.72,172.36
16/08/17,141835,444.51,222.255
16/09/17,162903,1048,524
29/08/17,92400,1347.84,673.92
09/09/17,191500,1759.2,879.6
26/08/17,144635,908.87,454.435
10/08/17,92938,227.3,113.65
02/08/17,200628,222.4,111.2
22/12/17,152931,2380,1190
30/08/17,124302,500.02,250.01
19/08/17,182454,187.1,93.55
08/09/17,145529,227.3,113.65
03/09/17,180639,2281.7,1140.85
24/08/17,172146,5048.25,2524.125
22/12/17,145014,528,264
25/08/17,61522,99,49.5
19/08/17,183853,349,174.5
13/09/17,124955,466.32,233.16
16/09/17,165351,548,274
12/08/17,191647,67,33.5
20/08/17,165517,771,385.5
28/12/17,172521,415,207.5
25/08/17,161817,581,290.5
02/09/17,190515,202.4,101.2
02/08/17,74915,451,225.5
02/08/17,110232,738,369
16/09/17,182615,2442.81,1221.405
22/09/17,140803,430.22,215.11
17/10/17,103454,498.99,249.495
15/09/17,121807,500.19,250.095
16/11/17,110158,498.99,249.495
16/08/17,125811,500.19,250.095
19/12/17,115108,498.99,249.495
22/08/17,73358,59,29.5
05/08/17,170342,173,86.5
22/08/17,155544,787.14,393.57
02/08/17,162502,840,420
02/08/17,204819,500,250
26/12/17,141150,100,50
08/11/17,32302,39.9,19.95
26/12/17,153416,93,46.5
28/12/17,151820,81.6,40.8
15/12/17,151854,968.99,484.495
03/11/17,151900,457,228.5
24/08/17,95026,16.5,8.25
26/12/17,163049,427,213.5
15/12/17,103220,129,64.5
01/11/17,132940,385,192.5
29/09/17,84908,129,64.5
15/12/17,161915,1331.81,665.905
25/08/17,105109,129,64.5
25/08/17,63251,200,100
24/08/17,163143,103.81,51.905
24/08/17,170553,189,94.5
03/11/17,83853,129,64.5
08/11/17,154005,27,13.5
29/12/17,163055,7045.68,3522.84
20/08/17,12317,56.87,28.435
29/08/17,170812,149,74.5
10/08/17,74028,17.5,8.75
20/08/17,204117,86.77,43.385
20/08/17,2204,35.9,17.95
14/08/17,111434,21.59,10.795
29/09/17,170811,149,74.5
29/12/17,160812,149,74.5
19/08/17,222725,17.5,8.75
29/10/17,160809,149,74.5
31/08/17,200053,48.15,24.075
29/11/17,160812,149,74.5
05/08/17,222621,560.11,280.055
05/08/17,123954,1600,800
22/08/17,192135,712.67,356.335
18/08/17,224854,99,49.5
08/08/17,212417,775.93,387.965
13/08/17,101129,500,250
12/08/17,143907,680,340
12/08/17,205830,668.21,334.105
11/08/17,125540,259,129.5
09/08/17,195759,938.25,469.125
14/08/17,162749,549,274.5
12/10/17,142957,709.75,354.875
22/10/17,112148,241,120.5
07/08/17,175057,410,205
16/08/17,203305,170.53,85.265
04/09/17,112717,700.71,350.355
03/11/17,121005,251.69,125.845
07/08/17,152803,400.01,200.005
12/08/17,173904,244,122
10/09/17,171407,680.2,340.1
19/08/17,132511,580.16,290.08
19/08/17,221955,759.07,379.535
18/10/17,224855,99,49.5
29/08/17,192257,1599,799.5
10/09/17,84344,1094.8,547.4
14/09/17,155021,549,274.5
08/10/17,172745,400,200
16/09/17,214901,1226.59,613.295
30/09/17,164050,1795.5,897.75
16/08/17,204014,461.95,230.975
28/09/17,213803,10,5
08/09/17,110718,93.26,46.63
11/09/17,112823,500,250
09/09/17,165202,420,210
12/10/17,145703,442.5,221.25
05/11/17,120114,500,250
20/08/17,201522,199,99.5
26/10/17,121954,285,142.5
28/08/17,103927,500,250
07/08/17,191733,360,180
22/09/17,142910,720.2,360.1
24/09/17,112733,491.5,245.75
18/11/17,214856,99,49.5
18/09/17,224853,99,49.5
09/10/17,83508,400,200
14/10/17,140657,549,274.5
04/11/17,141759,305,152.5
07/11/17,103644,400,200
04/11/17,184455,98.55,49.275
13/09/17,113441,511.59,255.795
18/12/17,214854,99,49.5
28/09/17,234856,1601,800.5
31/10/17,114818,922.66,461.33
29/09/17,140117,756,378
11/12/17,111628,300,150
02/10/17,133936,962.83,481.415
31/10/17,125609,195,97.5
07/08/17,193708,199.2,99.6
02/08/17,125850,13928,6964
23/09/17,84923,500,250
30/12/17,180625,233.9,116.95
14/08/17,0,850,425
28/08/17,194308,500,250
12/09/17,131856,9,4.5
02/08/17,140516,451.62,225.81
02/08/17,235656,71,35.5
03/09/17,120806,158,79
22/08/17,200417,500,250
03/09/17,103148,1132,566
01/12/17,185108,352.04,176.02
18/08/17,101945,500,250
14/12/17,181059,500,250
09/08/17,203015,129,64.5
12/11/17,35901,129,64.5
12/08/17,41143,129,64.5
12/09/17,43408,129,64.5
12/10/17,80836,129,64.5
12/12/17,31127,129,64.5
26/10/17,115651,109,54.5
29/10/17,193249,74,37
06/08/17,152634,940,470
01/08/17,133818,27.09,13.545
06/09/17,161342,940,470
01/10/17,202758,49,24.5
08/10/17,222358,74,37
01/10/17,125056,49,24.5
06/12/17,162651,940,470
01/08/17,133818,85,42.5
01/08/17,140124,15.84,7.92
28/10/17,131147,85,42.5
07/10/17,235334,74,37
28/10/17,125844,27.42,13.71
06/10/17,191028,940,470
06/11/17,141348,940,470
30/10/17,172436,1904.5,952.25
08/10/17,61346,159,79.5
29/11/17,184953,1904.5,952.25
29/08/17,161122,219,109.5
02/08/17,172533,219,109.5
08/09/17,112648,159,79.5
29/11/17,155952,219,109.5
29/12/17,154958,219,109.5
30/08/17,182742,1422.17,711.085
08/12/17,51931,199,99.5
28/09/17,163929,1904.5,952.25
29/09/17,164851,219,109.5
08/11/17,54900,159,79.5
08/08/17,54727,159,79.5
30/10/17,155549,219,109.5
03/11/17,71139,58,29
03/08/17,61508,58,29
04/09/17,61751,58,29
03/10/17,85234,58,29
23/11/17,101720,398,199
30/09/17,165239,4720,2360
23/08/17,73147,473.14,236.57
30/09/17,210423,2095.45,1047.725
18/11/17,142319,4758.11,2379.055
21/10/17,193609,10946.43,5473.215
02/09/17,170308,485,242.5
07/10/17,201357,1420.26,710.13
30/09/17,210113,2767,1383.5
05/10/17,111359,198.99,99.495
23/09/17,121521,199,99.5
25/08/17,85448,199,99.5
23/11/17,190535,199,99.5
23/12/17,72620,1280.3,640.15
06/12/17,104750,198.99,99.495
05/09/17,111825,198.99,99.495
24/10/17,103049,199,99.5
06/11/17,130316,198.99,99.495
07/08/17,111821,198.99,99.495
26/12/17,74247,190.03,95.015
16/08/17,114056,5072.1,2536.05
18/12/17,95717,190.03,95.015
13/12/17,84132,190.03,95.015
29/08/17,80831,190.03,95.015
08/11/17,104209,190.03,95.015
26/09/17,80447,190.03,95.015
26/12/17,74533,190.03,95.015
08/11/17,104200,190.03,95.015
26/09/17,80431,190.03,95.015
29/08/17,81102,190.03,95.015
14/08/17,80348,100,50
06/08/17,71608,159,79.5
